thread_id,thread_forumId,thread_projectId,thread_title,thread_createdOn,thread_createdBy,thread_modifiedOn,thread_etag,thread_messageKey,thread_numberOfViews,thread_numberOfReplies,thread_lastActivity,thread_isEdited,thread_isDeleted,thread_isPinned,thread_content,reply_id,reply_threadId,reply_forumId,reply_projectId,reply_createdOn,reply_createdBy,reply_modifiedOn,reply_etag,reply_messageKey,reply_isEdited,reply_isDeleted,reply_content
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,11945,2219,72579,syn8507133,2017-07-27T02:01:38.000Z,3340080,2017-07-27T02:01:38.000Z,53820595-5571-417d-ac07-2acc96b7e3c7,72579/2219/11945/5cd590ff-e69e-432d-ae32-a2a4efc63e48,FALSE,FALSE,Is it required to use docker?
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,11952,2219,72579,syn8507133,2017-07-27T18:37:00.000Z,2223305,2017-07-27T18:37:00.000Z,377e5d2b-a7da-4ddf-a942-2ed22f715534,72579/2219/11952/4d02f0b8-2d88-4d26-9020-74694e3b7fe5,FALSE,FALSE,"For this particular challenge, yes — Docker is required.

&nbsp;

The goal of these challenges is to evaluate standards and tools for sharing and running reproducible analytical workflows. We're currently focusing on those conventions put forth and described by the [**GA4GH Containers and Workflows**](https://genomicsandhealth.org/working-groups/our-work/containers-and-workflows) group. These conventions are based on distributing tools/dependencies as Docker images and describing the execution and parameterization of the resulting Docker containers through CWL or WDL. 

&nbsp;

As such, all of the workflows provided for the **Workflow Execution Challenge** are based in one or more Docker images hosted in [**Docker Hub**](https://hub.docker.com/) or [**QUAY**](https://quay.io/).

&nbsp;

Docker is the only containerization technology with stable support in CWL and WDL platforms right now. However, we expect that other types of containers (e.g., Singularity or Linux Containers) might become more relevant in the future. At that point, it would certainly be interesting to reevaluate some of the workflows in this challenge using alternative container technologies!"
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,11978,2219,72579,syn8507133,2017-07-31T16:43:12.000Z,3359557,2017-07-31T16:43:12.000Z,f7c908be-36de-4f12-8480-cb3e5b280c33,72579/2219/11978/549ec278-5d0e-4f18-895c-ee1b5a7946f7,FALSE,FALSE,"Hi:
I am attempting to use 'synapse' to download files for the challenge, but keep getting an error that is something like this:

> synapse get -r syn9630939
SynapseHTTPError: 416 Client Error: Requested Range Not Satisfiable
<?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>InvalidRange</Code><Message>The requested range is not satisfiable</Message><RangeRequested>bytes=6-</RangeRequested><ActualObjectSize>6</ActualObjectSize><RequestId>CB1451537B5DA9BF</RequestId><HostId>oLNF/Kh6wRyQVR4kvoAbBTwoMQjQi6rIHxHWNk7AQsWrawAvZHf1X5r4B9MfW+sFrV4r01iKU1M=</HostId></Error>

That is a download from the root directory, I've tried subdirectories as well and sometimes get slightly different ones, though they all resemble the above.  Anyone else have this problem, any suggestions?
Thanks,
Trevor"
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,11985,2219,72579,syn8507133,2017-08-01T16:34:53.000Z,2223305,2017-08-01T16:34:53.000Z,4c9a3331-0207-4075-9608-a0d75500142a,72579/2219/11985/5ced496b-4f09-4315-affb-a99e4ea9b257,FALSE,FALSE,"Hi @tcickovs,

&nbsp;

Which version of the Synapse client are you using? I found a thread in the Synapse help forums that discusses a similar error:
https://www.synapse.org/#!Synapse:syn5637528/discussion/threadId=1423

&nbsp;

The JIRA issue related to the error is still open, but I can add details from your case to help with debugging. Please share any other information about your environment that you think might be relevant.

&nbsp;

In the meantime, I suggest trying to download the folders for each workflow using the process described [**here*](https://www.synapse.org/#!Synapse:syn8507133/wiki/451410) for `dockstore-tool-synapse-get` along with the corresponding JSON file for the workflow you want. Because this CWL tool is based on a Docker image with a fixed version of the Synapse client, behavior should hopefully be more consistent — but obviously, we'd like to resolve issues with the actual client as well. :)

&nbsp;

Let me know if you have further questions.

&nbsp;

Thanks!
James
"
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,11994,2219,72579,syn8507133,2017-08-01T23:35:18.000Z,3359557,2017-08-01T23:35:18.000Z,6ab8bd3c-294f-4c50-8c6b-dfb2fffc960b,72579/2219/11994/5d53c295-2c66-47fe-b441-2877084b5020,FALSE,FALSE,"Thanks James!  Turns out an upgrade of Synapse was enough to fix the problem.
Best,
Trevor"
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,12243,2219,72579,syn8507133,2017-08-29T12:05:46.000Z,3352048,2017-08-29T12:05:46.000Z,72d79603-4b64-489f-a963-66324c044a50,72579/2219/12243/6df79665-4389-4d1a-9006-72da581daab8,FALSE,FALSE,"I'm having significant problems with inherent limits to docker container sizes in CentOS 6 (it might be OS specific). Mainly tried adding this to my docker config: --storage-opt dm.basesize=100G. I followed a tutorial on https://www.projectatomic.io/blog/2016/03/daemon_option_basedevicesize/ to allocate more space to the container but despite that the container never changed its rootfs size.

This is a problem for two of the pipelines where I need to download large images that fill up my entire container. Anybody else encounter similar problem and overcome it?"
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,12287,2219,72579,syn8507133,2017-09-01T15:04:19.000Z,2223305,2017-09-01T15:04:19.000Z,f0124d5a-a01e-4704-87fc-ebbec42a5b44,72579/2219/12287/baa38245-c16e-4bcb-9f06-3b3d23798354,FALSE,FALSE,"Hi @benstory,

Sorry for not getting back to you sooner! I've tested on Ubuntu and macOS and haven't run into this particular issue yet (though I did have to mess with the Docker daemon config to avoid containers maxing out my scratch space..). We've had a couple questions come up now that are beyond my Docker expertise; I'll raise these again to the group on our Tuesday call next week and see if anyone has suggestions. In the meantime, cc'ing @briandoconnor, @denis.yuen, and @jeremiahsavage, in case they have a better answer.

Will hopefully follow up with you soon.
"
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,12342,2219,72579,syn8507133,2017-09-05T16:33:23.000Z,3359517,2017-09-05T16:33:23.000Z,ed676e16-bd90-4424-84fb-204bc769aef7,72579/2219/12342/26f0c30b-2974-4905-8666-bc8384428371,FALSE,FALSE,Is this helpful?  https://gist.github.com/OliPelz/4cf1ea585fe0a8a3c24ba711d5bccb89
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,12973,2219,72579,syn8507133,2017-09-28T08:42:44.000Z,3360642,2017-09-28T08:42:44.000Z,e616c28d-5bbf-4659-b5c3-22f0c1431dba,72579/2219/12973/cd9ccd45-b599-41b3-bbab-4e02b5a07091,FALSE,FALSE,"Hi @jaeddy, 

Can you create a discussion thread for **knoweng_gene_prioritization**  workflow help. I have found an issue with running this workflow using `rabix` runner.  

Thanks! 
Vipin"
2219,72579,syn8507133,Have a question about the GA4GH/DREAM Workflow Execution Challenge? Ask it here.,2017-07-19T19:09:29.000Z,2223305,2017-07-19T19:09:29.000Z,82c5806d-4c9d-4c29-b66b-621a7a7dedfd,72579/2219/6884b9c3-486a-4b57-a580-5ca55124f13a,28,20,2017-12-19T17:16:08.000Z,FALSE,FALSE,TRUE,This is a public forum for participants to post questions. Challenge organizers monitor and respond to questions posted here.,13059,2219,72579,syn8507133,2017-10-02T14:00:55.000Z,3345963,2017-10-02T14:00:55.000Z,7c9543ba-da26-4dce-81a1-ed205607b7e3,72579/2219/13059/09694a6b-2c3a-413a-8a48-e694dc00d1b4,FALSE,FALSE,Is there a decision whether this challenge (or phase) will be extended?  Thanks.
